GOID,p.value,transcript,geneID,chr,start,end,meth.diff,GOterm,GOSlim
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034471521.1,105327305,NC_047562.1,38743919,38743921,53.3189052954552,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034471513.1,105327305,NC_047562.1,38743919,38743921,53.3189052954552,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034471518.1,105327305,NC_047562.1,38743919,38743921,53.3189052954552,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0030507,4.1e-05,XM_034468255.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0030507,4.1e-05,XM_034468253.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0030507,4.1e-05,XM_034468249.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0030507,4.1e-05,XM_034468256.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0030507,4.1e-05,XM_034468254.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0030507,4.1e-05,XM_034468252.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0030507,4.1e-05,XM_034468251.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,spectrin binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468256.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468249.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468255.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468252.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468254.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468253.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0032029,4.1e-05,XM_034468251.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,myosin tail binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468254.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034472126.1,105336135,NC_047562.1,32098817,32098819,56.8005045196552,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468253.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468255.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468249.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468252.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034472125.1,105336135,NC_047562.1,32098817,32098819,56.8005045196552,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468251.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0034452,0.00039,XM_034468256.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynactin binding,cytoskeletal activity
GO:0043621,0.00129,XM_034470623.1,105337895,NC_047561.1,57932088,57932090,-55.6736646292851,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468256.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0043621,0.00129,XM_034470625.1,105337895,NC_047561.1,57932088,57932090,-55.6736646292851,protein self-association,other molecular function
GO:0043621,0.00129,XM_034470622.1,105337895,NC_047561.1,57932088,57932090,-55.6736646292851,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468255.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0043621,0.00129,XM_034481437.1,105320187,NC_047564.1,4230388,4230390,-62.2549019607843,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468249.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0043621,0.00129,XM_034470626.1,105337895,NC_047561.1,57932088,57932090,-55.6736646292851,protein self-association,other molecular function
GO:0043621,0.00129,XM_034470624.1,105337895,NC_047561.1,57932088,57932090,-55.6736646292851,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468253.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0043621,0.00129,XM_034470627.1,105337895,NC_047561.1,57932088,57932090,-55.6736646292851,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468254.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468252.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0043621,0.00129,XM_034468251.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,protein self-association,other molecular function
GO:0045505,0.00017,XM_034479307.1,105330782,NC_047563.1,23995567,23995569,55.2521008403361,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479303.1,105330782,NC_047563.1,23995567,23995569,55.2521008403361,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479307.1,105330782,NC_047563.1,23984358,23984360,52.2604687653231,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468255.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479303.1,105330782,NC_047563.1,23984358,23984360,52.2604687653231,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479306.1,105330782,NC_047563.1,23984358,23984360,52.2604687653231,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479306.1,105330782,NC_047563.1,23995567,23995569,55.2521008403361,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034472125.1,105336135,NC_047562.1,32098817,32098819,56.8005045196552,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468249.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468253.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468254.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468252.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034472126.1,105336135,NC_047562.1,32098817,32098819,56.8005045196552,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479305.1,105330782,NC_047563.1,23984358,23984360,52.2604687653231,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468251.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034468256.1,105323682,NC_047561.1,47185896,47185898,53.9393939393939,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479305.1,105330782,NC_047563.1,23995567,23995569,55.2521008403361,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479304.1,105330782,NC_047563.1,23984358,23984360,52.2604687653231,dynein intermediate chain binding,other molecular function
GO:0045505,0.00017,XM_034479304.1,105330782,NC_047563.1,23995567,23995569,55.2521008403361,dynein intermediate chain binding,other molecular function
