GOID,topGOterm,p.value,transcript,geneID,chr,start,end,meth.diff,GOterm,GOSlim,product
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482481.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X3
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482481.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X3
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482481.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X3
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482481.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X3
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482482.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X4
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482482.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X4
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482482.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X4
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482482.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X4
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482482.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X4
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482483.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X5
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482483.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X5
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482483.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X5
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482483.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X5
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482483.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X5
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482484.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X6
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482484.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X6
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482484.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X6
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482484.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X6
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482484.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X6
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482485.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X7
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482485.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X7
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482485.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X7
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482485.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X7
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482485.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X7
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482486.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X8
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482486.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X8
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482486.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X8
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482486.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X8
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482486.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X8
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482487.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X9
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482487.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X9
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482487.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X9
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482487.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X9
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482487.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X9
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482488.1,105331446,NC_047564.1,26693493,26693495,59.066100667071,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X10
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482488.1,105331446,NC_047564.1,26781172,26781174,61.411479630471,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X10
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482488.1,105331446,NC_047564.1,26781458,26781460,52.1683673469388,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X10
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482488.1,105331446,NC_047564.1,26782469,26782471,62.6101987899741,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X10
GO:0000123,histone acetyltransferase complex,0.0093,XM_034482488.1,105331446,NC_047564.1,26783579,26783581,65.3896713615023,histone acetyltransferase complex,nucleus,helicase domino, transcript variant X10
GO:0031248,protein acetyltransferase complex,0.0093,XM_034462443.1,NA,NA,NA,NA,NA,NA,NA,NA
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482479.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X1
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482480.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X2
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482481.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X3
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482482.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X4
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482483.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X5
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482484.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X6
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482485.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X7
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482486.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X8
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482487.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X9
GO:0031248,protein acetyltransferase complex,0.0093,XM_034482488.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X10
GO:1902493,acetyltransferase complex,0.0093,XM_034462443.1,NA,NA,NA,NA,NA,NA,NA,NA
GO:1902493,acetyltransferase complex,0.0093,XM_034482479.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X1
GO:1902493,acetyltransferase complex,0.0093,XM_034482480.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X2
GO:1902493,acetyltransferase complex,0.0093,XM_034482481.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X3
GO:1902493,acetyltransferase complex,0.0093,XM_034482482.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X4
GO:1902493,acetyltransferase complex,0.0093,XM_034482483.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X5
GO:1902493,acetyltransferase complex,0.0093,XM_034482484.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X6
GO:1902493,acetyltransferase complex,0.0093,XM_034482485.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X7
GO:1902493,acetyltransferase complex,0.0093,XM_034482486.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X8
GO:1902493,acetyltransferase complex,0.0093,XM_034482487.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X9
GO:1902493,acetyltransferase complex,0.0093,XM_034482488.1,NA,NA,NA,NA,NA,NA,NA,helicase domino, transcript variant X10
