A0NGI1	CGI_10010648
Q92543	CGI_10026247
Q92604	CGI_10017167
Q92609	CGI_10012476
Q92621	CGI_10026576
Q92628	CGI_10011359
Q93034	CGI_10001200
Q94BZ1	CGI_10010913
Q95ZJ1	CGI_10004335
Q95ZJ1	CGI_10020547
Q969S3	CGI_10003069
Q96AE7	CGI_10026556
Q96JG6	CGI_10023639
Q96JL9	CGI_10012354
Q96KG9	CGI_10015257
Q96MM6	CGI_10002794
Q96NN9	CGI_10006300
Q96RQ3	CGI_10023847
Q96RT7	CGI_10027375
Q96SB3	CGI_10022771
Q99502	CGI_10019922
Q99683	CGI_10011917
Q99700	CGI_10018768
Q99973	CGI_10009375
Q99KW9	CGI_10008651
Q9BQS8	CGI_10017792
Q9BUJ2	CGI_10015594
Q9BXB4	CGI_10024079
Q9BYN7	CGI_10019085
Q9BYT1	CGI_10015580
Q9C0G6	CGI_10020015
Q9CQ44	CGI_10009639
Q9CQL5	CGI_10017508
Q9CSH3	CGI_10020442
Q9CX99	CGI_10010584
Q9CXP4	CGI_10026446
Q9CYA6	CGI_10024516
Q9D4W2	CGI_10001227
Q9DBR7	CGI_10003201
Q9EPZ8	CGI_10016416
Q9H0R3	CGI_10023286
Q9H3S7	CGI_10003400
Q9H8V3	CGI_10026964
Q9HAU5	CGI_10020993
Q9HBY0	CGI_10001451
Q9JHT5	CGI_10022980
Q9M9E8	CGI_10022854
Q9NQV6	CGI_10009638
Q9NVE4	CGI_10019244
Q9NVH0	CGI_10025079
Q9NYQ6	CGI_10006474
Q9NZQ3	CGI_10018668
Q9NZW4	CGI_10005214
Q9P2D0	CGI_10015408
Q9QXG4	CGI_10021968
Q9QYE0	CGI_10024836
Q9R0D8	CGI_10014377
Q9R1P4	CGI_10008810
Q9R1R2	CGI_10001358
Q9U1M8	CGI_10002584
Q9UBB5	CGI_10011651
Q9UHB9	CGI_10020564
Q9UHJ3	CGI_10006381
Q9UII5	CGI_10011721
Q9UJX5	CGI_10027235
Q9UKD2	CGI_10014965
Q9UKU7	CGI_10023025
Q9ULV0	CGI_10005126
Q9UP83	CGI_10012067
Q9VX32	CGI_10028030
Q9W1W9	CGI_10025081
Q9WU70	CGI_10019031
Q9Y2G3	CGI_10003316
Q9Y4A5	CGI_10005249
Q9YHZ6	CGI_10023236
Q9Z1J2	CGI_10010191
