A0JPB4	A0JPB4.1	CGI_10006947	4e-12
A0JPB5	A0JPB5.1	CGI_10006183	1e-08
A0JPE1	A0JPE1.1	CGI_10016929	2e-41
A0JPF9	A0JPF9.1	CGI_10014968	2e-63
A0JPI9	A0JPI9.1	CGI_10003223	2e-35
A0JPI9	A0JPI9.1	CGI_10005324	3e-21
A0JPI9	A0JPI9.1	CGI_10006591	2e-50
A0JPI9	A0JPI9.1	CGI_10009156	2e-22
A0JPI9	A0JPI9.1	CGI_10015110	1e-28
A0JPI9	A0JPI9.1	CGI_10015924	2e-51
A0JPI9	A0JPI9.1	CGI_10016178	2e-51
A0JPI9	A0JPI9.1	CGI_10016633	3e-59
A0JPI9	A0JPI9.1	CGI_10017082	1e-67
A0JPI9	A0JPI9.1	CGI_10023826	6e-48
A0JPI9	A0JPI9.1	CGI_10023827	2e-07
A0JPI9	A0JPI9.1	CGI_10024376	8e-70
A0JPI9	A0JPI9.1	CGI_10024685	2e-38
A0JPI9	A0JPI9.1	CGI_10025655	3e-85
A0JPN1	A0JPN1.1	CGI_10013972	3e-43
A0M8U1	A0M8U1.1	CGI_10012718	0.0
A0MGZ7	A0MGZ7.1	CGI_10002297	4e-35
A0MLS5	A0MLS5.1	CGI_10025277	5e-38
A0MLS5	A0MLS5.1	CGI_10025278	3e-63
A0MTA1	A0MTA1.1	CGI_10023148	2e-103
A0MZ67	A0MZ67.1	CGI_10008669	2e-31
A0NGI1	A0NGI1.1	CGI_10010648	1e-31
A0PJE2	A0PJE2.2	CGI_10016608	2e-135
A0PJN4	A0PJN4.2	CGI_10008712	3e-18
A0PJN4	A0PJN4.2	CGI_10025987	2e-13
A0PQX0	A0PQX0.1	CGI_10022672	1e-08
A0QZA1	A0QZA1.1	CGI_10022382	1e-10
A0R4R3	A0R4R3.1	CGI_10020287	2e-32
A0R4R3	A0R4R3.1	CGI_10020288	1e-25
A0RM89	A0RM89.1	CGI_10003082	3e-68
A1A4J8	A1A4J8.1	CGI_10004862	2e-75
A1A4M4	A1A4M4.1	CGI_10025789	8e-100
A1A4M6	A1A4M6.1	CGI_10011393	7e-39
A1A4P5	A1A4P5.1	CGI_10004013	4e-49
A1A4R8	A1A4R8.1	CGI_10016158	1e-19
A1A4V9	A1A4V9.1	CGI_10017774	5e-39
A1A5G0	A1A5G0.1	CGI_10009104	0.0
A1A5P2	A1A5P2.1	CGI_10027309	2e-75
A1A5S1	A1A5S1.1	CGI_10009392	0.0
A1A5V9	A1A5V9.1	CGI_10014232	9e-31
A1A5Y0	A1A5Y0.1	CGI_10008897	1e-26
A1BQQ5	A1BQQ5.1	CGI_10001803	6e-45
A1BQQ5	A1BQQ5.1	CGI_10004863	8e-19
A1BQQ5	A1BQQ5.1	CGI_10004864	1e-48
A1BQQ5	A1BQQ5.1	CGI_10009919	4e-16
A1BQQ5	A1BQQ5.1	CGI_10020690	1e-31
A1E295	A1E295.1	CGI_10027022	3e-145
A1L162	A1L162.1	CGI_10016440	9e-07
A1L1C7	A1L1C7.1	CGI_10014214	6e-151
A1L1F6	A1L1F6.1	CGI_10016442	1e-32
A1L1L3	A1L1L3.1	CGI_10013571	3e-35
A1L1R5	A1L1R5.1	CGI_10016183	1e-105
A1L1S5	A1L1S5.1	CGI_10008560	6e-51
A1L1W9	A1L1W9.1	CGI_10001391	6e-109
A1L1W9	A1L1W9.1	CGI_10009757	2e-58
A1L243	A1L243.2	CGI_10004916	2e-59
A1L243	A1L243.2	CGI_10006348	4e-60
A1L251	A1L251.1	CGI_10013965	2e-93
A1L253	A1L253.1	CGI_10014599	5e-40
A1L258	A1L258.1	CGI_10000028	5e-51
A1L2F3	A1L2F3.2	CGI_10015074	3e-35
A1L2I9	A1L2I9.1	CGI_10014349	1e-93
A1L2K1	A1L2K1.1	CGI_10007029	9e-19
A1L2P5	A1L2P5.1	CGI_10024087	4e-36
A1L2Y1	A1L2Y1.2	CGI_10019566	7e-07
A1L3F4	A1L3F4.1	CGI_10010513	2e-103
A1L3G4	A1L3G4.1	CGI_10014724	6e-15
A1L520	A1L520.1	CGI_10010343	4e-103
A1X283	A1X283.3	CGI_10014410	5e-43
A1XQU1	A1XQU1.2	CGI_10011558	1e-136
A1XQX0	A1XQX0.1	CGI_10023109	9e-83
A1YG61	A1YG61.1	CGI_10000136	1e-23
A1YG61	A1YG61.1	CGI_10011697	9e-07
A1YGA2	A1YGA2.1	CGI_10003333	1e-13
A1Z3X3	A1Z3X3.1	CGI_10007528	9e-107
A1ZA47	A1ZA47.2	CGI_10010306	3e-19
A1ZA47	A1ZA47.2	CGI_10018227	1e-10
A1ZA47	A1ZA47.2	CGI_10019365	6e-13
A1ZA47	A1ZA47.2	CGI_10025486	2e-14
A1ZA47	A1ZA47.2	CGI_10025809	6e-73
A2A5Z6	A2A5Z6.1	CGI_10024137	0.0
A2A690	A2A690.1	CGI_10000610	1e-124
A2A690	A2A690.1	CGI_10004029	0.0
A2A6A1	A2A6A1.1	CGI_10003005	2e-10
A2A6A1	A2A6A1.1	CGI_10015128	8e-09
A2A7Y5	A2A7Y5.1	CGI_10023242	2e-22
A2A935	A2A935.1	CGI_10005698	1e-109
A2A9C3	A2A9C3.1	CGI_10018346	1e-157
A2AAY5	A2AAY5.1	CGI_10014409	6e-31
A2AG06	A2AG06.1	CGI_10013638	1e-53
A2AGA4	A2AGA4.1	CGI_10001331	2e-44
A2AHJ4	A2AHJ4.1	CGI_10020687	0.0
A2AIW0	A2AIW0.1	CGI_10010922	3e-15
A2AJ76	A2AJ76.1	CGI_10009137	5e-08
A2AJ76	A2AJ76.1	CGI_10012348	8e-96
A2AJ76	A2AJ76.1	CGI_10013482	4e-09
A2AJ76	A2AJ76.1	CGI_10025290	7e-32
A2AJ88	A2AJ88.1	CGI_10024691	0.0
A2AJA7	A2AJA7.1	CGI_10022524	2e-54
A2AJA7	A2AJA7.1	CGI_10027468	3e-08
A2AJL3	A2AJL3.1	CGI_10013091	3e-10
A2AJN7	A2AJN7.1	CGI_10011799	0.0
A2AJN7	A2AJN7.1	CGI_10025939	0.0
A2AJT4	A2AJT4.1	CGI_10000072	5e-15
A2AKG8	A2AKG8.1	CGI_10021344	8e-39
A2AKX3	A2AKX3.1	CGI_10012698	2e-20
A2AM05	A2AM05.1	CGI_10006164	1e-106
A2APV2	A2APV2.2	CGI_10007354	7e-132
A2ARS0	A2ARS0.1	CGI_10001791	2e-29
A2ARV4	A2ARV4.1	CGI_10002962	4e-16
A2ARV4	A2ARV4.1	CGI_10010730	6e-06
A2ARV4	A2ARV4.1	CGI_10011457	8e-16
A2ARV4	A2ARV4.1	CGI_10021152	8e-19
A2ARZ3	A2ARZ3.3	CGI_10014625	1e-17
A2ASQ1	A2ASQ1.1	CGI_10023235	3e-06
A2ASS6	A2ASS6.1	CGI_10007905	2e-10
A2ASS6	A2ASS6.1	CGI_10007954	7e-34
A2ASS6	A2ASS6.1	CGI_10009888	4e-17
A2ASS6	A2ASS6.1	CGI_10009889	3e-17
A2ASS6	A2ASS6.1	CGI_10012798	1e-06
A2ASS6	A2ASS6.1	CGI_10016806	0.0
A2ASS6	A2ASS6.1	CGI_10019011	2e-79
A2ASS6	A2ASS6.1	CGI_10022998	1e-25
A2ASS6	A2ASS6.1	CGI_10022999	1e-47
A2ASS6	A2ASS6.1	CGI_10028091	3e-07
A2AV25	A2AV25.1	CGI_10005575	1e-74
A2AV25	A2AV25.1	CGI_10026882	3e-70
A2AV25	A2AV25.1	CGI_10026883	2e-74
A2AV25	A2AV25.1	CGI_10026886	1e-56
A2AVA0	A2AVA0.1	CGI_10004126	6e-25
A2AVA0	A2AVA0.1	CGI_10005933	8e-13
A2AVA0	A2AVA0.1	CGI_10007173	2e-40
A2AVA0	A2AVA0.1	CGI_10011269	5e-27
A2AVA0	A2AVA0.1	CGI_10016478	3e-14
A2AWP0	A2AWP0.1	CGI_10026569	7e-19
A2AWP8	A2AWP8.1	CGI_10001937	2e-31
A2AX52	A2AX52.2	CGI_10001323	7e-36
A2AX52	A2AX52.2	CGI_10003288	2e-23
A2AX52	A2AX52.2	CGI_10008455	5e-41
A2AX52	A2AX52.2	CGI_10009194	1e-37
A2AX52	A2AX52.2	CGI_10012379	8e-26
A2AX52	A2AX52.2	CGI_10023717	4e-84
A2AX52	A2AX52.2	CGI_10026902	2e-21
A2BD83	A2BD83.1	CGI_10016532	2e-150
A2BD94	A2BD94.1	CGI_10008500	9e-34
A2BDB7	A2BDB7.1	CGI_10011905	6e-07
A2BE28	A2BE28.1	CGI_10017954	1e-22
A2BE76	A2BE76.1	CGI_10008891	2e-57
A2BFC9	A2BFC9.1	CGI_10008521	3e-46
A2BFP5	A2BFP5.1	CGI_10019739	0.0
A2BG43	A2BG43.1	CGI_10005258	3e-31
A2BGR3	A2BGR3.1	CGI_10025557	0.0
A2BHJ4	A2BHJ4.1	CGI_10017225	1e-54
A2BID5	A2BID5.1	CGI_10015831	1e-117
A2BIG9	A2BIG9.1	CGI_10000380	4e-25
A2BIJ3	A2BIJ3.1	CGI_10008950	9e-72
A2BIR6	A2BIR6.1	CGI_10021311	6e-56
A2CEA7	A2CEA7.1	CGI_10019636	0.0
A2CES0	A2CES0.1	CGI_10024645	5e-59
A2CG63	A2CG63.1	CGI_10017095	4e-77
A2D5H2	A2D5H2.1	CGI_10009922	2e-124
A2IBY8	A2IBY8.1	CGI_10009472	3e-37
A2RRD8	A2RRD8.1	CGI_10019048	7e-34
A2RRV9	A2RRV9.1	CGI_10018106	9e-88
A2RSJ4	A2RSJ4.2	CGI_10003904	4e-161
A2RSX7	A2RSX7.2	CGI_10006502	7e-134
A2RSY1	A2RSY1.1	CGI_10019874	6e-175
A2RT62	A2RT62.1	CGI_10005036	1e-160
A2RT91	A2RT91.1	CGI_10008512	4e-104
A2RT91	A2RT91.1	CGI_10022713	1e-168
A2RTL5	A2RTL5.1	CGI_10014994	4e-29
A2RU49	A2RU49.2	CGI_10016104	3e-53
A2RU49	A2RU49.2	CGI_10016105	7e-32
A2RU49	A2RU49.2	CGI_10016107	8e-37
A2RU49	A2RU49.2	CGI_10027033	2e-70
A2RU67	A2RU67.1	CGI_10017419	3e-27
A2RUS2	A2RUS2.2	CGI_10003026	2e-47
A2RUS2	A2RUS2.2	CGI_10019107	1e-107
A2RUV5	A2RUV5.1	CGI_10027028	0.0
A2RUW1	A2RUW1.1	CGI_10015396	7e-88
A2RV80	A2RV80.1	CGI_10021884	9e-35
A2SWM2	A2SWM2.2	CGI_10026002	1e-15
A2T6X9	A2T6X9.1	CGI_10023142	0.0
A2T713	A2T713.1	CGI_10011854	2e-16
A2T7G9	A2T7G9.1	CGI_10028397	2e-70
A2TED3	A2TED3.1	CGI_10005643	2e-36
A2TJ54	A2TJ54.1	CGI_10008001	6e-109
A2V7M9	A2V7M9.1	CGI_10019969	1e-94
A2VCL2	A2VCL2.3	CGI_10002528	2e-101
A2VCW9	A2VCW9.1	CGI_10022642	0.0
A2VCZ5	A2VCZ5.1	CGI_10026509	0.0
A2VD23	A2VD23.1	CGI_10012775	1e-09
A2VD23	A2VD23.1	CGI_10016565	6e-11
A2VD23	A2VD23.1	CGI_10023068	9e-17
A2VD82	A2VD82.1	CGI_10009394	5e-144
A2VD82	A2VD82.1	CGI_10009708	7e-118
A2VDB3	A2VDB3.1	CGI_10027138	8e-14
A2VDC2	A2VDC2.1	CGI_10005358	1e-146
A2VDD2	A2VDD2.1	CGI_10013079	4e-30
A2VDD2	A2VDD2.1	CGI_10014996	5e-18
A2VDD2	A2VDD2.1	CGI_10015739	2e-23
A2VDD2	A2VDD2.1	CGI_10024577	4e-27
A2VDD2	A2VDD2.1	CGI_10024843	1e-59
A2VDL9	A2VDL9.1	CGI_10026244	4e-153
A2VDP4	A2VDP4.1	CGI_10017888	9e-49
A2VDR2	A2VDR2.1	CGI_10018071	6e-41
A2VDU3	A2VDU3.1	CGI_10006842	8e-16
A2VE15	A2VE15.1	CGI_10014375	3e-98
A2VE52	A2VE52.1	CGI_10019234	6e-78
A2VE54	A2VE54.1	CGI_10015895	5e-31
A2VE56	A2VE56.1	CGI_10007655	4e-39
A2VE79	A2VE79.1	CGI_10006008	3e-50
A2VE99	A2VE99.1	CGI_10022558	0.0
A2VEI2	A2VEI2.1	CGI_10026057	3e-144
A2XYY8	A2XYY8.1	CGI_10020527	5e-79
A3KCL7	A3KCL7.1	CGI_10006363	3e-37
A3KG59	A3KG59.1	CGI_10028928	8e-94
A3KMP2	A3KMP2.2	CGI_10009070	8e-30
A3KMP2	A3KMP2.2	CGI_10021648	8e-59
A3KMV1	A3KMV1.1	CGI_10003687	1e-07
A3KMV5	A3KMV5.1	CGI_10000224	2e-18
A3KMV5	A3KMV5.1	CGI_10001466	2e-91
A3KMV5	A3KMV5.1	CGI_10007052	7e-94
A3KMV5	A3KMV5.1	CGI_10007054	2e-94
A3KMV5	A3KMV5.1	CGI_10008924	2e-141
A3KMV5	A3KMV5.1	CGI_10010841	3e-131
A3KMV5	A3KMV5.1	CGI_10012452	0.0
A3KMV5	A3KMV5.1	CGI_10012454	8e-37
A3KMZ6	A3KMZ6.1	CGI_10025404	7e-66
A3KNI7	A3KNI7.2	CGI_10026759	5e-20
A3KPN8	A3KPN8.1	CGI_10009069	5e-29
A3KPP4	A3KPP4.1	CGI_10012560	2e-96
A3KPP4	A3KPP4.1	CGI_10022894	2e-98
A3KPQ7	A3KPQ7.1	CGI_10015182	1e-102
A3KPQ7	A3KPQ7.1	CGI_10026658	1e-53
A3KPW7	A3KPW7.1	CGI_10018310	1e-76
A3KPW9	A3KPW9.1	CGI_10008867	9e-46
A3KQA5	A3KQA5.2	CGI_10008688	4e-90
A3R064	A3R064.1	CGI_10014378	6e-10
A3RLT6	A3RLT6.1	CGI_10021852	1e-150
A4D0V7	A4D0V7.1	CGI_10020074	2e-71
A4D161	A4D161.1	CGI_10000353	4e-20
A4D263	A4D263.2	CGI_10006803	2e-41
A4D2P6	A4D2P6.2	CGI_10018620	2e-62
A4FU69	A4FU69.2	CGI_10008411	2e-156
A4FUB0	A4FUB0.1	CGI_10005935	5e-31
A4FUD6	A4FUD6.1	CGI_10017796	3e-51
A4FUE7	A4FUE7.1	CGI_10022985	4e-47
A4FUI1	A4FUI1.1	CGI_10013574	2e-31
A4FUY7	A4FUY7.2	CGI_10000456	9e-49
A4FV58	A4FV58.2	CGI_10008280	9e-74
A4FV97	A4FV97.1	CGI_10022434	4e-41
A4G5V4	A4G5V4.1	CGI_10008294	4e-87
A4IF62	A4IF62.1	CGI_10012624	0.0
A4IF63	A4IF63.1	CGI_10000692	4e-08
A4IF63	A4IF63.1	CGI_10001461	1e-14
A4IF63	A4IF63.1	CGI_10001535	8e-10
A4IF63	A4IF63.1	CGI_10006649	3e-12
A4IF63	A4IF63.1	CGI_10007414	3e-10
A4IF63	A4IF63.1	CGI_10007901	8e-15
A4IF63	A4IF63.1	CGI_10008922	1e-06
A4IF63	A4IF63.1	CGI_10009108	4e-31
A4IF63	A4IF63.1	CGI_10011467	3e-06
A4IF63	A4IF63.1	CGI_10011500	3e-08
A4IF63	A4IF63.1	CGI_10012090	3e-10
A4IF63	A4IF63.1	CGI_10012261	3e-09
A4IF63	A4IF63.1	CGI_10015676	4e-08
A4IF63	A4IF63.1	CGI_10016289	4e-07
A4IF63	A4IF63.1	CGI_10017777	7e-08
A4IF63	A4IF63.1	CGI_10019358	4e-08
A4IF63	A4IF63.1	CGI_10019810	5e-11
A4IF63	A4IF63.1	CGI_10022686	4e-07
A4IF63	A4IF63.1	CGI_10023515	1e-07
A4IF63	A4IF63.1	CGI_10023622	2e-06
A4IF63	A4IF63.1	CGI_10024920	3e-08
A4IF63	A4IF63.1	CGI_10025275	2e-30
A4IF63	A4IF63.1	CGI_10026575	3e-08
A4IF63	A4IF63.1	CGI_10027071	7e-11
A4IF63	A4IF63.1	CGI_10027948	1e-09
A4IF87	A4IF87.1	CGI_10011812	2e-148
A4IF97	A4IF97.1	CGI_10003913	2e-77
A4IFJ5	A4IFJ5.1	CGI_10013325	0.0
A4IFK2	A4IFK2.1	CGI_10020072	5e-131
A4IFK9	A4IFK9.1	CGI_10003420	2e-13
A4IGF3	A4IGF3.1	CGI_10018540	1e-39
A4IGL7	A4IGL7.1	CGI_10000535	1e-07
A4IGL7	A4IGL7.1	CGI_10014928	9e-13
A4IGL7	A4IGL7.1	CGI_10015472	0.0
A4IGY3	A4IGY3.1	CGI_10017018	2e-109
A4IH24	A4IH24.1	CGI_10012814	2e-91
A4IH36	A4IH36.1	CGI_10019070	3e-42
A4IH75	A4IH75.1	CGI_10015743	8e-105
A4IHB9	A4IHB9.1	CGI_10025011	9e-30
A4IHB9	A4IHB9.1	CGI_10025014	7e-100
A4IHB9	A4IHB9.1	CGI_10025881	4e-120
A4IHD2	A4IHD2.1	CGI_10014741	1e-40
A4IHD2	A4IHD2.1	CGI_10015304	1e-56
A4IHD2	A4IHD2.1	CGI_10021921	3e-49
A4IHD2	A4IHD2.1	CGI_10021923	1e-11
A4IHR1	A4IHR1.1	CGI_10003919	0.0
A4IHS0	A4IHS0.1	CGI_10001835	2e-15
A4IHT0	A4IHT0.1	CGI_10023430	3e-148
A4IHW6	A4IHW6.1	CGI_10010165	2e-165
A4II73	A4II73.2	CGI_10006633	8e-61
A4IIC5	A4IIC5.1	CGI_10024788	3e-26
A4IIG7	A4IIG7.1	CGI_10007274	1e-41
A4IIK1	A4IIK1.1	CGI_10004829	1e-34
A4IIK1	A4IIK1.1	CGI_10013238	1e-75
A4IIK1	A4IIK1.1	CGI_10027412	5e-64
A4IIL4	A4IIL4.1	CGI_10019665	7e-133
A4IIW7	A4IIW7.1	CGI_10007244	1e-108
A4IIY1	A4IIY1.1	CGI_10001246	5e-08
A4IIY1	A4IIY1.1	CGI_10005873	2e-10
A4IJ15	A4IJ15.1	CGI_10028331	4e-12
A4IJ21	A4IJ21.1	CGI_10002010	6e-110
A4IJ21	A4IJ21.1	CGI_10004547	5e-06
A4K526	A4K526.1	CGI_10002519	3e-12
A4L691	A4L691.1	CGI_10013007	6e-38
A4Q9F4	A4Q9F4.1	CGI_10017072	7e-132
A4Q9F4	A4Q9F4.1	CGI_10017073	7e-145
A4Q9F6	A4Q9F6.1	CGI_10004471	0.0
A4QN56	A4QN56.1	CGI_10004290	2e-35
A4QN56	A4QN56.1	CGI_10008224	4e-34
A4QN56	A4QN56.1	CGI_10016019	3e-28
A4QN56	A4QN56.1	CGI_10028612	1e-29
A4QN56	A4QN56.1	CGI_10028615	9e-23
A4QN59	A4QN59.1	CGI_10024141	1e-150
A4QND5	A4QND5.1	CGI_10007587	1e-98
A4QNF3	A4QNF3.1	CGI_10014032	3e-30
A4QNI8	A4QNI8.1	CGI_10025431	4e-127
A4QNM5	A4QNM5.2	CGI_10021663	5e-129
A4QNN3	A4QNN3.1	CGI_10003031	1e-46
A4QNN3	A4QNN3.1	CGI_10026335	6e-33
A4QNS7	A4QNS7.1	CGI_10025145	9e-44
A4QP81	A4QP81.1	CGI_10014987	8e-11
A4QP81	A4QP81.1	CGI_10026143	1e-15
A4UTP7	A4UTP7.1	CGI_10021696	5e-48
A4UTP7	A4UTP7.1	CGI_10021697	6e-13
A4UTQ2	A4UTQ2.1	CGI_10005610	6e-34
A4V8B4	A4V8B4.1	CGI_10022075	1e-67
A4W948	A4W948.1	CGI_10001131	4e-12
A4YI89	A4YI89.1	CGI_10010930	5e-29
A5A4K9	A5A4K9.1	CGI_10025276	1e-15
A5A4L1	A5A4L1.1	CGI_10016888	2e-36
A5A4L1	A5A4L1.1	CGI_10016890	7e-39
A5A6H9	A5A6H9.1	CGI_10024793	0.0
A5A6P2	A5A6P2.1	CGI_10012485	2e-120
A5A8Y8	A5A8Y8.1	CGI_10028323	1e-14
A5D6U8	A5D6U8.1	CGI_10000195	2e-29
A5D6U8	A5D6U8.1	CGI_10002108	2e-70
A5D6U8	A5D6U8.1	CGI_10006971	2e-48
A5D6U8	A5D6U8.1	CGI_10017794	6e-95
A5D787	A5D787.1	CGI_10021221	3e-22
A5D794	A5D794.1	CGI_10027673	3e-114
A5D7C1	A5D7C1.1	CGI_10016620	0.0
A5D7I4	A5D7I4.1	CGI_10009313	0.0
A5D7J3	A5D7J3.2	CGI_10026976	3e-12
A5D7L5	A5D7L5.1	CGI_10025485	1e-06
A5D7P8	A5D7P8.1	CGI_10000175	8e-52
A5D7P8	A5D7P8.1	CGI_10011408	8e-52
A5D7V7	A5D7V7.1	CGI_10003437	7e-06
A5D8N2	A5D8N2.1	CGI_10028806	6e-65
A5D8P8	A5D8P8.1	CGI_10026120	4e-13
A5D8W1	A5D8W1.3	CGI_10023511	0.0
A5D9C6	A5D9C6.1	CGI_10017710	3e-86
A5GFN6	A5GFN6.1	CGI_10015432	3e-16
A5GFN6	A5GFN6.1	CGI_10015433	0.0
A5GFW1	A5GFW1.1	CGI_10010095	1e-148
A5GFZ5	A5GFZ5.1	CGI_10002516	7e-146
A5GIS6	A5GIS6.1	CGI_10002056	1e-43
A5HK05	A5HK05.1	CGI_10017402	0.0
A5HNF6	A5HNF6.1	CGI_10013672	2e-46
A5IJJ8	A5IJJ8.1	CGI_10028249	3e-06
A5JSS2	A5JSS2.1	CGI_10019760	3e-41
A5PJ65	A5PJ65.2	CGI_10014052	1e-81
A5PJA1	A5PJA1.1	CGI_10020671	4e-85
A5PJA8	A5PJA8.1	CGI_10016821	3e-44
A5PJA8	A5PJA8.1	CGI_10021156	3e-44
A5PJI7	A5PJI7.1	CGI_10017844	8e-34
A5PJQ2	A5PJQ2.1	CGI_10023034	5e-26
A5PJY4	A5PJY4.1	CGI_10013094	6e-51
A5PJZ2	A5PJZ2.1	CGI_10016643	2e-61
A5PK45	A5PK45.1	CGI_10017498	1e-164
A5PK46	A5PK46.1	CGI_10011094	3e-67
A5PK63	A5PK63.1	CGI_10005808	3e-70
A5PKG6	A5PKG6.1	CGI_10016982	0.0
A5PKG7	A5PKG7.1	CGI_10007926	1e-99
A5PKH3	A5PKH3.1	CGI_10006585	0.0
A5PKK7	A5PKK7.2	CGI_10015560	1e-40
A5PLG0	A5PLG0.1	CGI_10027767	2e-15
A5PLI4	A5PLI4.1	CGI_10019136	2e-105
A5PLK2	A5PLK2.1	CGI_10001603	2e-105
A5PLK2	A5PLK2.1	CGI_10028818	5e-99
A5PLK6	A5PLK6.1	CGI_10008728	2e-27
A5PLL1	A5PLL1.3	CGI_10026331	1e-10
A5PLL1	A5PLL1.3	CGI_10026332	1e-10
A5PLL7	A5PLL7.3	CGI_10008502	3e-127
A5PMU4	A5PMU4.1	CGI_10018543	1e-06
A5PMU4	A5PMU4.1	CGI_10025965	2e-07
A5PMX1	A5PMX1.1	CGI_10008946	4e-58
A5PN52	A5PN52.1	CGI_10021642	1e-13
A5WH99	A5WH99.1	CGI_10011894	3e-10
A5WUT8	A5WUT8.1	CGI_10007481	0.0
A5YM72	A5YM72.3	CGI_10003762	2e-139
A5YM72	A5YM72.3	CGI_10019704	0.0
A5YM72	A5YM72.3	CGI_10022269	6e-156
A6BM72	A6BM72.3	CGI_10001108	2e-80
