chr	geneID	genes.start	genes.end	MI.start	MI.end	overlap	length	GOSlim	DML.overlaps
scaffold890	CGI_10014464	81187	101968	100033	102533	1934	2500	protein metabolism	0
scaffold53	CGI_10026649	69197	125241	100034	102904	2869	2870	cell adhesion	0
scaffold53	CGI_10026649	69197	125241	100034	102904	2869	2870	cell organization and biogenesis	0
scaffold53	CGI_10026649	69197	125241	100034	102904	2869	2870	developmental processes	0
scaffold716	CGI_10014443	98265	108702	100035	134911	8666	34876	stress response	0
scaffold716	CGI_10014443	98265	108702	100035	134911	8666	34876	protein metabolism	0
scaffold716	CGI_10014443	98265	108702	100035	134911	8666	34876	signal transduction	0
scaffold716	CGI_10014443	98265	108702	100035	134911	8666	34876	transport	0
scaffold716	CGI_10014443	98265	108702	100035	134911	8666	34876	other metabolic processes	0
scaffold716	CGI_10014443	98265	108702	100035	134911	8666	34876	DNA metabolism	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	signal transduction	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	DNA metabolism	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	stress response	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	transport	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	cell cycle and proliferation	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	protein metabolism	0
scaffold716	CGI_10014444	108861	128830	100035	134911	19969	34876	other metabolic processes	0
scaffold42524	CGI_10007096	53630	108683	100046	104564	4517	4518	signal transduction	0
scaffold42524	CGI_10007096	53630	108683	100046	104564	4517	4518	protein metabolism	0
scaffold42524	CGI_10007096	53630	108683	100046	104564	4517	4518	other metabolic processes	0
scaffold42524	CGI_10007096	53630	108683	100046	104564	4517	4518	developmental processes	0
scaffold43920	CGI_10013991	87156	124802	100048	104555	4506	4507	cell adhesion	0
scaffold43920	CGI_10013991	87156	124802	100048	104555	4506	4507	stress response	0
scaffold546	CGI_10020993	71049	119321	100050	102024	1973	1974	RNA metabolism	0
scaffold546	CGI_10020993	71049	119321	100050	102024	1973	1974	transport	0
scaffold546	CGI_10020993	71049	119321	100050	102024	1973	1974	developmental processes	0
scaffold622	CGI_10018194	92236	100709	100054	101124	654	1070	developmental processes	0
scaffold622	CGI_10018194	92236	100709	100054	101124	654	1070	DNA metabolism	0
scaffold622	CGI_10018194	92236	100709	100054	101124	654	1070	cell organization and biogenesis	0
scaffold71	CGI_10015053	91987	115622	100054	101457	1402	1403	developmental processes	0
scaffold1503	CGI_10009531	95543	100855	100054	102036	800	1982	transport	0
scaffold733	CGI_10025898	978262	1000628	1000556	1001236	71	680	developmental processes	0
scaffold733	CGI_10025898	978262	1000628	1000556	1001236	71	680	cell adhesion	0
scaffold733	CGI_10025898	978262	1000628	1000556	1001236	71	680	cell organization and biogenesis	0
scaffold43130	CGI_10008963	99127	140133	100056	102407	2350	2351	transport	0
scaffold43130	CGI_10008963	99127	140133	100056	102407	2350	2351	protein metabolism	0
scaffold40820	CGI_10004471	3744	15689	10006	10520	513	514	protein metabolism	0
scaffold425	CGI_10026011	997658	1029515	1000617	1001540	922	923	protein metabolism	0
scaffold425	CGI_10026011	997658	1029515	1000617	1001540	922	923	developmental processes	0
scaffold425	CGI_10026011	997658	1029515	1000617	1001540	922	923	cell cycle and proliferation	0
scaffold425	CGI_10026011	997658	1029515	1000617	1001540	922	923	cell organization and biogenesis	0
scaffold425	CGI_10026011	997658	1029515	1000617	1001540	922	923	RNA metabolism	0
scaffold619	CGI_10025795	972445	1008453	1000764	1001311	546	547	RNA metabolism	0
scaffold1086	CGI_10021931	71811	104849	100080	100728	647	648	signal transduction	0
scaffold1532	CGI_10028235	106072	115792	100085	107365	1293	7280	transport	0
scaffold1532	CGI_10028233	67061	101808	100085	107365	1722	7280	cell organization and biogenesis	0
scaffold43134	CGI_10008892	91039	105157	100096	100969	872	873	stress response	0
scaffold43134	CGI_10008892	91039	105157	100096	100969	872	873	DNA metabolism	0
scaffold43134	CGI_10008892	91039	105157	100096	100969	872	873	developmental processes	0
scaffold43134	CGI_10008892	91039	105157	100096	100969	872	873	RNA metabolism	0
scaffold43134	CGI_10008892	91039	105157	100096	100969	872	873	protein metabolism	0
scaffold43134	CGI_10008892	91039	105157	100096	100969	872	873	death	0
scaffold218	CGI_10007764	100202	136677	100102	101977	1775	1875	cell organization and biogenesis	0
scaffold218	CGI_10007764	100202	136677	100102	101977	1775	1875	developmental processes	0
scaffold218	CGI_10007764	100202	136677	100102	101977	1775	1875	protein metabolism	0
scaffold218	CGI_10007764	100202	136677	100102	101977	1775	1875	RNA metabolism	0
scaffold41572	CGI_10005296	79333	104852	100104	101729	1624	1625	RNA metabolism	0
scaffold41572	CGI_10005296	79333	104852	100104	101729	1624	1625	stress response	0
scaffold1757	CGI_10005115	96677	101781	100107	100843	735	736	transport	0
scaffold142	CGI_10026783	988947	1002463	1001073	1002633	1389	1560	RNA metabolism	0
scaffold142	CGI_10026783	988947	1002463	1001073	1002633	1389	1560	DNA metabolism	0
scaffold142	CGI_10026783	988947	1002463	1001073	1002633	1389	1560	protein metabolism	0
scaffold142	CGI_10026783	988947	1002463	1001073	1002633	1389	1560	stress response	0
scaffold142	CGI_10026783	988947	1002463	1001073	1002633	1389	1560	developmental processes	0
scaffold950	CGI_10022920	86388	112962	100112	111879	11766	11767	other metabolic processes	0
scaffold950	CGI_10022920	86388	112962	100112	111879	11766	11767	cell organization and biogenesis	0
scaffold950	CGI_10022920	86388	112962	100112	111879	11766	11767	protein metabolism	0
scaffold950	CGI_10022920	86388	112962	100112	111879	11766	11767	developmental processes	0
scaffold42850	CGI_10007926	99053	115365	100114	104417	4302	4303	cell organization and biogenesis	0
scaffold42850	CGI_10007926	99053	115365	100114	104417	4302	4303	protein metabolism	0
scaffold41296	CGI_10004841	59589	101977	100117	102297	1859	2180	cell adhesion	0
scaffold41296	CGI_10004841	59589	101977	100117	102297	1859	2180	signal transduction	0
scaffold41296	CGI_10004842	97823	107187	100117	102297	2179	2180	cell adhesion	0
scaffold42466	CGI_10006940	91601	112610	100119	100869	749	750	RNA metabolism	0
scaffold42466	CGI_10006940	91601	112610	100119	100869	749	750	cell organization and biogenesis	0
scaffold1492	CGI_10012072	90558	100898	100119	100882	762	763	cell cycle and proliferation	0
scaffold1492	CGI_10012072	90558	100898	100119	100882	762	763	DNA metabolism	0
scaffold41540	CGI_10005243	10008	30162	10012	10790	777	778	other metabolic processes	0
scaffold664	CGI_10021435	61122	106734	100129	108996	6604	8867	other metabolic processes	0
scaffold1009	CGI_10028774	997098	1006550	1001327	1002580	1252	1253	protein metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1001327	1002580	1252	1253	other metabolic processes	0
scaffold1009	CGI_10028774	997098	1006550	1001327	1002580	1252	1253	RNA metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1001327	1002580	1252	1253	stress response	0
scaffold1825	CGI_10011143	90888	110963	100136	104262	4125	4126	cell organization and biogenesis	0
scaffold1825	CGI_10011143	90888	110963	100136	104262	4125	4126	transport	0
scaffold1825	CGI_10011143	90888	110963	100136	104262	4125	4126	cell cycle and proliferation	0
scaffold433	CGI_10027101	962160	1001869	1001423	1002822	445	1399	developmental processes	0
scaffold433	CGI_10027101	962160	1001869	1001423	1002822	445	1399	protein metabolism	0
scaffold1572	CGI_10007819	98792	115435	100153	114674	14520	14521	other metabolic processes	0
scaffold107	CGI_10025079	996510	1010951	1001644	1002623	978	979	DNA metabolism	0
scaffold107	CGI_10025079	996510	1010951	1001644	1002623	978	979	stress response	0
scaffold608	CGI_10003699	2631	10420	10017	10946	402	929	RNA metabolism	0
scaffold608	CGI_10003700	6604	42818	10017	10946	928	929	cell organization and biogenesis	0
scaffold608	CGI_10003700	6604	42818	10017	10946	928	929	developmental processes	0
scaffold608	CGI_10003700	6604	42818	10017	10946	928	929	signal transduction	0
scaffold608	CGI_10003700	6604	42818	10017	10946	928	929	cell cycle and proliferation	0
scaffold619	CGI_10025795	972445	1008453	1001785	1002496	710	711	RNA metabolism	0
scaffold172	CGI_10013515	89801	115698	100182	100771	588	589	cell organization and biogenesis	0
scaffold172	CGI_10013515	89801	115698	100182	100771	588	589	transport	0
scaffold172	CGI_10013515	89801	115698	100182	100771	588	589	signal transduction	0
scaffold82	CGI_10025239	96515	110527	100183	101198	1014	1015	RNA metabolism	0
scaffold1605	CGI_10023348	85574	101575	100193	103461	1381	3268	other metabolic processes	0
scaffold1605	CGI_10023348	85574	101575	100193	103461	1381	3268	signal transduction	0
scaffold1605	CGI_10023348	85574	101575	100193	103461	1381	3268	cell organization and biogenesis	0
scaffold1605	CGI_10023348	85574	101575	100193	103461	1381	3268	developmental processes	0
scaffold625	CGI_10023401	94444	109721	100201	108068	7866	7867	other metabolic processes	0
scaffold625	CGI_10023401	94444	109721	100201	108068	7866	7867	cell organization and biogenesis	0
scaffold625	CGI_10023402	94886	105009	100201	108068	4807	7867	stress response	0
scaffold625	CGI_10023402	94886	105009	100201	108068	4807	7867	RNA metabolism	0
scaffold625	CGI_10023402	94886	105009	100201	108068	4807	7867	DNA metabolism	0
scaffold314	CGI_10007544	98987	102975	100201	111705	2773	11504	cell cycle and proliferation	0
scaffold314	CGI_10007544	98987	102975	100201	111705	2773	11504	stress response	0
scaffold314	CGI_10007544	98987	102975	100201	111705	2773	11504	RNA metabolism	0
scaffold314	CGI_10007544	98987	102975	100201	111705	2773	11504	signal transduction	0
scaffold314	CGI_10007544	98987	102975	100201	111705	2773	11504	other metabolic processes	0
scaffold314	CGI_10007544	98987	102975	100201	111705	2773	11504	protein metabolism	0
scaffold1785	CGI_10024356	86845	101115	100208	100752	543	544	developmental processes	0
scaffold1785	CGI_10024356	86845	101115	100208	100752	543	544	cell organization and biogenesis	0
scaffold1785	CGI_10024356	86845	101115	100208	100752	543	544	RNA metabolism	0
scaffold1785	CGI_10024356	86845	101115	100208	100752	543	544	protein metabolism	0
scaffold1785	CGI_10024356	86845	101115	100208	100752	543	544	transport	0
scaffold38688	CGI_10002920	221	19200	10021	10641	619	620	cell organization and biogenesis	0
scaffold38688	CGI_10002920	221	19200	10021	10641	619	620	stress response	0
scaffold38688	CGI_10002920	221	19200	10021	10641	619	620	transport	0
scaffold38688	CGI_10002920	221	19200	10021	10641	619	620	other metabolic processes	0
scaffold38688	CGI_10002920	221	19200	10021	10641	619	620	DNA metabolism	0
scaffold38688	CGI_10002920	221	19200	10021	10641	619	620	cell cycle and proliferation	0
scaffold196	CGI_10001478	9514	21594	10021	11081	1059	1060	transport	0
scaffold196	CGI_10001478	9514	21594	10021	11081	1059	1060	developmental processes	0
scaffold196	CGI_10001478	9514	21594	10021	11081	1059	1060	other metabolic processes	0
C35776	CGI_10001604	14274	26767	10021	19627	5353	9606	cell cycle and proliferation	0
C35776	CGI_10001604	14274	26767	10021	19627	5353	9606	death	0
C35776	CGI_10001604	14274	26767	10021	19627	5353	9606	protein metabolism	0
C35776	CGI_10001604	14274	26767	10021	19627	5353	9606	signal transduction	0
C34270	CGI_10001262	1937	17133	10022	11058	1035	1036	cell organization and biogenesis	0
C34270	CGI_10001262	1937	17133	10022	11058	1035	1036	stress response	0
C34270	CGI_10001262	1937	17133	10022	11058	1035	1036	DNA metabolism	0
C34270	CGI_10001262	1937	17133	10022	11058	1035	1036	RNA metabolism	0
C36636	CGI_10002027	6957	16369	10025	10939	913	914	RNA metabolism	0
scaffold1299	CGI_10007582	99045	107635	100252	100780	527	528	cell cycle and proliferation	0
scaffold1299	CGI_10007582	99045	107635	100252	100780	527	528	cell organization and biogenesis	0
scaffold1299	CGI_10007582	99045	107635	100252	100780	527	528	RNA metabolism	0
scaffold1299	CGI_10007582	99045	107635	100252	100780	527	528	death	0
scaffold42128	CGI_10006197	75404	100829	100252	101054	576	802	developmental processes	0
scaffold42128	CGI_10006197	75404	100829	100252	101054	576	802	signal transduction	0
scaffold42128	CGI_10006197	75404	100829	100252	101054	576	802	cell cycle and proliferation	0
scaffold42128	CGI_10006197	75404	100829	100252	101054	576	802	stress response	0
scaffold42128	CGI_10006197	75404	100829	100252	101054	576	802	transport	0
scaffold42128	CGI_10006197	75404	100829	100252	101054	576	802	cell organization and biogenesis	0
scaffold504	CGI_10016017	76990	107612	100262	102274	2011	2012	other metabolic processes	0
scaffold107	CGI_10025079	996510	1010951	1002786	1005198	2411	2412	DNA metabolism	0
scaffold107	CGI_10025079	996510	1010951	1002786	1005198	2411	2412	stress response	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	other metabolic processes	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	cell organization and biogenesis	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	developmental processes	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	cell cycle and proliferation	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	transport	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	RNA metabolism	0
scaffold40182	CGI_10003936	7136	27863	10029	14733	4703	4704	signal transduction	0
scaffold1599	CGI_10027171	1001768	1041481	1003065	1003565	499	500	other metabolic processes	0
scaffold1009	CGI_10028774	997098	1006550	1003093	1003693	599	600	stress response	0
scaffold1009	CGI_10028774	997098	1006550	1003093	1003693	599	600	RNA metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1003093	1003693	599	600	protein metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1003093	1003693	599	600	other metabolic processes	0
scaffold43562	CGI_10011030	79017	125003	100315	100906	590	591	other metabolic processes	0
scaffold43562	CGI_10011030	79017	125003	100315	100906	590	591	protein metabolism	0
scaffold43562	CGI_10011030	79017	125003	100315	100906	590	591	developmental processes	0
scaffold43562	CGI_10011030	79017	125003	100315	100906	590	591	RNA metabolism	0
scaffold43562	CGI_10011030	79017	125003	100315	100906	590	591	cell cycle and proliferation	0
scaffold43562	CGI_10011030	79017	125003	100315	100906	590	591	DNA metabolism	0
scaffold42190	CGI_10006339	97721	124872	100324	101014	689	690	cell organization and biogenesis	0
scaffold42190	CGI_10006339	97721	124872	100324	101014	689	690	stress response	0
scaffold42190	CGI_10006339	97721	124872	100324	101014	689	690	cell cycle and proliferation	0
scaffold42190	CGI_10006339	97721	124872	100324	101014	689	690	DNA metabolism	0
scaffold42190	CGI_10006339	97721	124872	100324	101014	689	690	developmental processes	0
scaffold42190	CGI_10006339	97721	124872	100324	101014	689	690	RNA metabolism	0
scaffold110	CGI_10008777	100793	106705	100326	100945	152	619	cell organization and biogenesis	0
scaffold110	CGI_10008777	100793	106705	100326	100945	152	619	protein metabolism	0
scaffold962	CGI_10027676	998516	1004457	1003269	1004160	890	891	RNA metabolism	0
scaffold433	CGI_10027051	97303	106718	100327	101026	698	699	signal transduction	0
scaffold364	CGI_10022678	102145	117693	100330	103855	1710	3525	RNA metabolism	0
scaffold364	CGI_10022678	102145	117693	100330	103855	1710	3525	developmental processes	0
scaffold1373	CGI_10007908	93164	101031	100352	101609	678	1257	protein metabolism	0
scaffold1373	CGI_10007908	93164	101031	100352	101609	678	1257	transport	0
scaffold1373	CGI_10007908	93164	101031	100352	101609	678	1257	cell organization and biogenesis	0
scaffold1581	CGI_10005314	95773	105131	100373	101509	1135	1136	other metabolic processes	0
scaffold226	CGI_10025395	988664	1007561	1003837	1004667	829	830	RNA metabolism	0
scaffold226	CGI_10025396	1003797	1005134	1003837	1004667	829	830	signal transduction	0
scaffold226	CGI_10025396	1003797	1005134	1003837	1004667	829	830	cell organization and biogenesis	0
scaffold226	CGI_10025396	1003797	1005134	1003837	1004667	829	830	developmental processes	0
scaffold1599	CGI_10027171	1001768	1041481	1003913	1004435	521	522	other metabolic processes	0
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	signal transduction	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	RNA metabolism	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	stress response	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	developmental processes	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	protein metabolism	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	death	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	cell organization and biogenesis	1
scaffold41656	CGI_10005392	98808	100588	100396	101873	191	1477	cell cycle and proliferation	1
scaffold658	CGI_10018964	98902	126256	100401	100919	517	518	developmental processes	0
scaffold658	CGI_10018964	98902	126256	100401	100919	517	518	RNA metabolism	0
scaffold658	CGI_10018964	98902	126256	100401	100919	517	518	cell organization and biogenesis	0
scaffold1715	CGI_10019662	88505	113380	100404	101645	1240	1241	death	0
scaffold1715	CGI_10019662	88505	113380	100404	101645	1240	1241	signal transduction	0
scaffold1715	CGI_10019662	88505	113380	100404	101645	1240	1241	protein metabolism	0
scaffold1715	CGI_10019662	88505	113380	100404	101645	1240	1241	cell cycle and proliferation	0
scaffold1715	CGI_10019662	88505	113380	100404	101645	1240	1241	stress response	0
scaffold42390	CGI_10006753	7677	11199	10041	10946	904	905	developmental processes	0
scaffold1220	CGI_10006804	93746	104501	100459	101287	827	828	protein metabolism	0
scaffold1497	CGI_10006965	95806	128213	100461	101002	540	541	developmental processes	0
scaffold1497	CGI_10006965	95806	128213	100461	101002	540	541	cell organization and biogenesis	0
scaffold1497	CGI_10006965	95806	128213	100461	101002	540	541	signal transduction	0
scaffold425	CGI_10026011	997658	1029515	1004685	1005695	1009	1010	protein metabolism	0
scaffold425	CGI_10026011	997658	1029515	1004685	1005695	1009	1010	developmental processes	0
scaffold425	CGI_10026011	997658	1029515	1004685	1005695	1009	1010	cell cycle and proliferation	0
scaffold425	CGI_10026011	997658	1029515	1004685	1005695	1009	1010	cell organization and biogenesis	0
scaffold425	CGI_10026011	997658	1029515	1004685	1005695	1009	1010	RNA metabolism	0
scaffold1711	CGI_10015594	1034	11661	10048	10785	736	737	RNA metabolism	0
scaffold885	CGI_10025234	1005329	1048267	1004816	1005348	19	532	developmental processes	0
scaffold885	CGI_10025234	1005329	1048267	1004816	1005348	19	532	cell cycle and proliferation	0
scaffold885	CGI_10025234	1005329	1048267	1004816	1005348	19	532	transport	0
scaffold1179	CGI_10027394	1003480	1016060	1004891	1005496	604	605	DNA metabolism	0
scaffold1179	CGI_10027394	1003480	1016060	1004891	1005496	604	605	stress response	0
scaffold892	CGI_10004787	95502	105494	100508	101502	993	994	protein metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1005297	1009196	1252	3899	stress response	0
scaffold1009	CGI_10028775	1006656	1020483	1005297	1009196	2540	3899	protein metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1005297	1009196	1252	3899	RNA metabolism	0
scaffold1009	CGI_10028774	997098	1006550	1005297	1009196	1252	3899	other metabolic processes	0
scaffold1009	CGI_10028774	997098	1006550	1005297	1009196	1252	3899	protein metabolism	0
scaffold963	CGI_10015619	91677	101893	100533	103011	1359	2478	transport	0
scaffold963	CGI_10015619	91677	101893	100533	103011	1359	2478	cell organization and biogenesis	0
scaffold1179	CGI_10027394	1003480	1016060	1005704	1010242	4537	4538	DNA metabolism	0
scaffold1179	CGI_10027394	1003480	1016060	1005704	1010242	4537	4538	stress response	0
scaffold1249	CGI_10019048	98485	107635	100572	101296	723	724	RNA metabolism	0
scaffold41900	CGI_10005818	96016	103390	100590	101757	1166	1167	cell organization and biogenesis	0
scaffold41900	CGI_10005818	96016	103390	100590	101757	1166	1167	signal transduction	0
scaffold41900	CGI_10005818	96016	103390	100590	101757	1166	1167	developmental processes	0
scaffold41900	CGI_10005818	96016	103390	100590	101757	1166	1167	transport	0
scaffold962	CGI_10027677	1004835	1008169	1006055	1008452	2113	2397	RNA metabolism	0
scaffold962	CGI_10027677	1004835	1008169	1006055	1008452	2113	2397	cell cycle and proliferation	0
scaffold962	CGI_10027677	1004835	1008169	1006055	1008452	2113	2397	cell organization and biogenesis	0
scaffold1116	CGI_10009128	104299	105676	100609	107276	1377	6667	cell organization and biogenesis	0
scaffold1116	CGI_10009128	104299	105676	100609	107276	1377	6667	protein metabolism	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	cell organization and biogenesis	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	developmental processes	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	signal transduction	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	cell adhesion	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	protein metabolism	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	cell cycle and proliferation	0
scaffold1600	CGI_10013036	94170	103095	100614	102044	1429	1430	death	0
scaffold38612	CGI_10002878	2293	17490	10062	11265	1202	1203	protein metabolism	0
scaffold38612	CGI_10002878	2293	17490	10062	11265	1202	1203	signal transduction	0
scaffold72	CGI_10017832	7133	11161	10064	11311	1096	1247	other metabolic processes	0
scaffold72	CGI_10017833	9367	18332	10064	11311	1246	1247	other metabolic processes	0
scaffold1746	CGI_10007280	45742	110596	100641	102565	1923	1924	developmental processes	0
scaffold1746	CGI_10007280	45742	110596	100641	102565	1923	1924	signal transduction	0
scaffold1746	CGI_10007280	45742	110596	100641	102565	1923	1924	transport	0
scaffold1746	CGI_10007280	45742	110596	100641	102565	1923	1924	death	0
scaffold1746	CGI_10007280	45742	110596	100641	102565	1923	1924	cell organization and biogenesis	0
scaffold932	CGI_10006174	92870	122772	100650	101987	1336	1337	cell adhesion	0
scaffold226	CGI_10025395	988664	1007561	1006629	1007274	644	645	RNA metabolism	0
scaffold37690	CGI_10002458	848	11248	10069	10782	712	713	RNA metabolism	0
scaffold1651	CGI_10007892	96893	110823	100692	101889	1196	1197	developmental processes	0
scaffold698	CGI_10020728	98108	108566	100697	101605	907	908	RNA metabolism	0
scaffold43786	CGI_10012345	10050	36500	10071	10650	578	579	cell cycle and proliferation	0
scaffold42892	CGI_10007999	3663	10565	10072	10620	492	548	cell adhesion	0
scaffold42892	CGI_10007999	3663	10565	10072	10620	492	548	developmental processes	0
scaffold43084	CGI_10008565	94002	112411	100720	102733	2012	2013	developmental processes	0
scaffold43084	CGI_10008565	94002	112411	100720	102733	2012	2013	RNA metabolism	0
scaffold885	CGI_10025234	1005329	1048267	1007223	1008266	1042	1043	developmental processes	0
scaffold885	CGI_10025234	1005329	1048267	1007223	1008266	1042	1043	cell cycle and proliferation	0
scaffold885	CGI_10025234	1005329	1048267	1007223	1008266	1042	1043	transport	0
scaffold43036	CGI_10008496	97200	112073	100726	118613	11346	17887	cell-cell signaling	0
scaffold43036	CGI_10008496	97200	112073	100726	118613	11346	17887	cell organization and biogenesis	0
scaffold43036	CGI_10008496	97200	112073	100726	118613	11346	17887	developmental processes	0
scaffold42328	CGI_10006555	83542	103804	100755	102172	1416	1417	protein metabolism	0
scaffold42328	CGI_10006555	83542	103804	100755	102172	1416	1417	other metabolic processes	0
scaffold37576	CGI_10002420	6469	13404	10078	10692	613	614	stress response	0
scaffold806	CGI_10004925	96930	114212	100794	113447	12652	12653	cell organization and biogenesis	0
scaffold806	CGI_10004925	96930	114212	100794	113447	12652	12653	death	0
scaffold806	CGI_10004925	96930	114212	100794	113447	12652	12653	transport	0
scaffold41502	CGI_10005175	101561	108461	100824	101586	25	762	other metabolic processes	0
scaffold1589	CGI_10024106	76689	101639	100833	103350	805	2517	cell organization and biogenesis	0
scaffold1589	CGI_10024106	76689	101639	100833	103350	805	2517	signal transduction	0
scaffold38466	CGI_10002798	5015	30508	10085	11614	1528	1529	cell organization and biogenesis	0
scaffold38466	CGI_10002798	5015	30508	10085	11614	1528	1529	cell cycle and proliferation	0
scaffold38466	CGI_10002798	5015	30508	10085	11614	1528	1529	protein metabolism	0
scaffold488	CGI_10005410	93993	103027	100865	101490	624	625	cell organization and biogenesis	0
scaffold488	CGI_10005410	93993	103027	100865	101490	624	625	developmental processes	0
scaffold488	CGI_10005410	93993	103027	100865	101490	624	625	stress response	0
scaffold488	CGI_10005410	93993	103027	100865	101490	624	625	death	0
scaffold42402	CGI_10006793	90325	106302	100888	107436	5413	6548	cell adhesion	0
scaffold42402	CGI_10006793	90325	106302	100888	107436	5413	6548	developmental processes	0
scaffold560	CGI_10008749	2793	16922	10089	10591	501	502	RNA metabolism	0
