A0NGI1	CGI_10010648	Transmembrane protein 234 homolog
Q5R9H4	CGI_10020806	APOBEC1 complementation factor (APOBEC1-stimulating protein)
Q5RA62	CGI_10014259	TFIIH basal transcription factor complex helicase XPB subunit (EC 3.6.4.12) (DNA excision repair protein ERCC-3)
Q5RB35	CGI_10010809	Muskelin
Q5RBL1	CGI_10008716	Glycine--tRNA ligase (EC 3.6.1.17) (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS)
Q5RBN9	CGI_10015640	Transcriptional adapter 2-beta
Q5RD33	CGI_10018734	Amyloid beta A4 precursor protein-binding family A member 2
Q5REU4	CGI_10026535	Staphylococcal nuclease domain-containing protein 1 (100 kDa coactivator) (p100 co-activator)
Q5RFA0	CGI_10025645	Negative elongation factor D (NELF-D) (TH1-like protein)
Q5RG45	CGI_10015025	Centrosomal protein of 135 kDa (Cep135)
Q5RGJ8	CGI_10013374	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein gnptab) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta]
Q5T1B0	CGI_10007458	Axonemal dynein light chain domain-containing protein 1
Q5T3U5	CGI_10016527	Multidrug resistance-associated protein 7 (ATP-binding cassette sub-family C member 10)
Q5TB80	CGI_10013098	Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog)
Q5U550	CGI_10009056	DET1- and DDB1-associated protein 1
Q5W0Z9	CGI_10006703	Probable palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 20) (DHHC-20)
Q5ZM35	CGI_10008613	Twinfilin-2
Q60HD5	CGI_10006854	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)
Q61124	CGI_10021444	Battenin (Protein CLN3)
Q61220	CGI_10006105	Protein kinase C-binding protein NELL2 (MEL91 protein) (NEL-like protein 2)
Q62915	CGI_10021945	Peripheral plasma membrane protein CASK (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase)
Q63164	CGI_10026448	Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1)
Q63424	CGI_10009837	Solute carrier family 15 member 2 (Kidney H(+)/peptide cotransporter) (Oligopeptide transporter, kidney isoform) (Peptide transporter 2)
Q6DCP1	CGI_10021842	FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-)
Q6DFF9	CGI_10022310	Mitogen-activated protein kinase-binding protein 1
Q6DFM9	CGI_10024362	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)
Q6DFV5	CGI_10018402	Probable helicase with zinc finger domain (EC 3.6.4.-)
Q6DJI8	CGI_10008836	Eukaryotic translation initiation factor 3 subunit G-A (eIF3g-A) (Eukaryotic translation initiation factor 3 RNA-binding subunit A) (eIF-3 RNA-binding subunit A) (Eukaryotic translation initiation factor 3 subunit 4-A)
Q6GPV5	CGI_10002232	E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181) (RING-type E3 ubiquitin transferase RNF181)
Q6IFY7	CGI_10025479	Reticulon-1-A (RTN1.1) (xRTN1) (XRTN1-C.1)
Q6KCD5	CGI_10002811	Nipped-B-like protein (Delangin homolog) (SCC2 homolog)
Q6NVR9	CGI_10006763	ATPase family AAA domain-containing protein 3
Q6NXK5	CGI_10019873	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)
Q6P1C1	CGI_10015211	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)
Q6P1D7	CGI_10019710	Structure-specific endonuclease subunit SLX4 (BTB/POZ domain-containing protein 12)
Q6P1E7	CGI_10022501	DNA-directed primase/polymerase protein (EC 2.7.7.-) (Coiled-coil domain-containing protein 111)
Q6P9P0	CGI_10023569	SMC5-SMC6 complex localization factor protein 2
Q6PDJ1	CGI_10015774	VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1)
Q6PEE2	CGI_10011720	CBP80/20-dependent translation initiation factor
Q6YHK3	CGI_10026294	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)
Q74GW7	CGI_10005980	tRNA 2-thiocytidine biosynthesis protein TtcA
Q75N73	CGI_10025484	Zinc transporter ZIP14 (Factor for adipocyte differentiation 123) (FAD-123) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)
Q75QN2	CGI_10017467	Integrator complex subunit 8 (Int8) (Protein kaonashi-1)
Q75WF2	CGI_10018880	Plancitoxin-1 (EC 3.1.22.1) (Plancitoxin I) (Plan-I) [Cleaved into: Plancitoxin-1 subunit alpha; Plancitoxin-1 subunit beta]
Q7SY52	CGI_10009786	Serine/threonine-protein kinase 10 (EC 2.7.11.1)
Q7SY73	CGI_10013782	Monoacylglycerol lipase abhd6-B (EC 3.1.1.23) (Abhydrolase domain-containing protein 6-B)
Q7TPD0	CGI_10005253	Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A)
Q7ZTY7	CGI_10019642	Vesicle transport protein USE1 (USE1-like protein)
Q7ZVA6	CGI_10010714	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3)
Q80U96	CGI_10021125	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)
Q80ZJ7	CGI_10014713	Sorting nexin-32 (Sorting nexin-6B)
Q86UW6	CGI_10028574	NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)
Q86WG5	CGI_10026116	Myotubularin-related protein 13 (SET-binding factor 2)
Q86WZ0	CGI_10008667	HEAT repeat-containing protein 4
Q8AYS7	CGI_10028314	Centromere protein I (CENP-I)
Q8BFR4	CGI_10028421	N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S)
Q8BGF9	CGI_10011288	Solute carrier family 25 member 44
Q8BJ34	CGI_10007033	Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1)
Q8BK67	CGI_10011007	Protein RCC2
Q8BRH4	CGI_10016397	Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.43) (Myeloid/lymphoid or mixed-lineage leukemia protein 3 homolog)
Q8BV79	CGI_10009891	TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1)
Q8BW86	CGI_10020669	Rho guanine nucleotide exchange factor 33
Q8BW94	CGI_10004785	Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (Ciliary dynein heavy chain 3)
Q8BX70	CGI_10026852	Vacuolar protein sorting-associated protein 13C
Q8BYF6	CGI_10013770	Sodium-coupled monocarboxylate transporter 1 (Electrogenic sodium monocarboxylate cotransporter) (Solute carrier family 5 member 8)
