Q52KJ8	CGI_10000428
Q8NFA0	CGI_10017491
Q8UUY8	CGI_10017492
Q9CQL5	CGI_10017508
P91929	CGI_10017598
P00491	CGI_10017694
Q9BQS8	CGI_10017792
Q3MHR7	CGI_10018003
Q54X15	CGI_10018110
Q2KIJ2	CGI_10018264
Q6DFV5	CGI_10018402
F8WLE0	CGI_10018571
Q9NZQ3	CGI_10018668
Q5RD33	CGI_10018734
Q99700	CGI_10018768
Q75WF2	CGI_10018880
Q28FX0	CGI_10018933
O75643	CGI_10018964
Q9WU70	CGI_10019031
P13667	CGI_10019057
Q9BYN7	CGI_10019085
Q9NVE4	CGI_10019244
Q8CFI5	CGI_10019275
Q8VHF0	CGI_10019329
Q8CFA2	CGI_10019480
Q498T3	CGI_10019481
Q01484	CGI_10019530
A1L2Y1	CGI_10019566
Q7ZTY7	CGI_10019642
P11087	CGI_10019649
Q6P1D7	CGI_10019710
Q6NXK5	CGI_10019873
P34056	CGI_10019880
Q5M7P5	CGI_10019899
Q99502	CGI_10019922
Q29RL9	CGI_10019931
Q9C0G6	CGI_10020015
Q91VA6	CGI_10020052
A4D0V7	CGI_10020074
Q13042	CGI_10020208
Q32NG5	CGI_10020327
Q922B6	CGI_10020331
P27600	CGI_10020412
P35285	CGI_10020438
Q9CSH3	CGI_10020442
Q95ZJ1	CGI_10020547
Q9UHB9	CGI_10020564
Q8BW86	CGI_10020669
A2AHJ4	CGI_10020687
Q5R9H4	CGI_10020806
Q9HAU5	CGI_10020993
Q80U96	CGI_10021125
Q8R1S0	CGI_10021127
Q15392	CGI_10021243
Q61124	CGI_10021444
O75165	CGI_10021563
O60504	CGI_10021679
Q8CDF7	CGI_10021786
Q6DCP1	CGI_10021842
Q62915	CGI_10021945
P24928	CGI_10021948
P25228	CGI_10021960
Q9QXG4	CGI_10021968
Q2PC93	CGI_10022184
Q6DFF9	CGI_10022310
Q01518	CGI_10022483
Q6P1E7	CGI_10022501
P07207	CGI_10022703
Q8TCB7	CGI_10022734
Q96SB3	CGI_10022771
Q5R9C1	CGI_10022832
Q9M9E8	CGI_10022854
Q9JHT5	CGI_10022980
Q9UKU7	CGI_10023025
Q9YHZ6	CGI_10023236
P42573	CGI_10023240
Q9H0R3	CGI_10023286
P55210	CGI_10023427
P22793	CGI_10023442
Q5H8A4	CGI_10023492
Q4V348	CGI_10023537
Q6P9P0	CGI_10023569
Q96JG6	CGI_10023639
Q8BZI6	CGI_10023669
P23634	CGI_10023684
Q3SWZ4	CGI_10023759
Q96RQ3	CGI_10023847
Q91048	CGI_10023907
Q9BXB4	CGI_10024079
Q2T9U5	CGI_10024143
P04183	CGI_10024169
A8MTY0	CGI_10024210
Q6DFM9	CGI_10024362
O75596	CGI_10024415
Q9CYA6	CGI_10024516
E1C2Z0	CGI_10024637
A6QQP7	CGI_10024760
P97852	CGI_10024801
Q9QYE0	CGI_10024836
Q39575	CGI_10024919
Q9NVH0	CGI_10025079
Q9W1W9	CGI_10025081
E1B7X9	CGI_10025169
Q24498	CGI_10025234
Q4R8M9	CGI_10025273
O15400	CGI_10025330
Q09LZ8	CGI_10025432
Q6IFY7	CGI_10025479
Q75N73	CGI_10025484
Q14690	CGI_10025541
A2BGR3	CGI_10025557
Q5RFA0	CGI_10025645
Q922M3	CGI_10025652
P13395	CGI_10025721
B5FZ19	CGI_10025943
P23913	CGI_10025955
Q86WG5	CGI_10026116
O75096	CGI_10026155
O15182	CGI_10026181
Q92543	CGI_10026247
Q6YHK3	CGI_10026294
Q8IWG1	CGI_10026357
Q9CXP4	CGI_10026446
Q63164	CGI_10026448
Q4V7A9	CGI_10026497
Q5REU4	CGI_10026535
Q96AE7	CGI_10026556
A2AWP0	CGI_10026569
Q92621	CGI_10026576
O88974	CGI_10026622
Q00174	CGI_10026821
Q8BX70	CGI_10026852
Q9H8V3	CGI_10026964
P97864	CGI_10027004
Q20930	CGI_10027133
Q9UJX5	CGI_10027235
O94913	CGI_10027261
Q15811	CGI_10027282
Q27954	CGI_10027347
Q96RT7	CGI_10027375
Q8C033	CGI_10027500
O15027	CGI_10027751
Q32PI8	CGI_10027880
Q8N157	CGI_10027970
Q9VX32	CGI_10028030
Q505D1	CGI_10028081
Q8AYS7	CGI_10028314
Q8BFR4	CGI_10028421
P09623	CGI_10028528
Q86UW6	CGI_10028574
Q53HV7	CGI_10028697
P42859	CGI_10028915
